"","Event","t2","s1","s2","totSamp","na.rm","year","totCatch","length","t1","sTot","sCPM"
"266","2006T04024",57.62,0,0,322.37,TRUE,2006,1026,0.99,703.63,0,0
"267","2007T04001",68.725,13,0,709.645,TRUE,2007,911.5,1.02,201.855,13,12.7450980392157
"268","2007T04005",53.345,0.5,0,355.635,TRUE,2007,491,1,135.365,0.5,0.5
"269","2007T04007",49.5,0.6,0,331.46,TRUE,2007,581,0.99,249.54,0.6,0.606060606060606
"270","2007T04008",42.35,3.3,0,1277.65,TRUE,2007,1344,1,66.3499999999999,3.3,3.3
"271","2007T04009",68.72,0,0,331.07,TRUE,2007,654,1,322.93,0,0
"272","2007T04010",77.63,8.3,0,414.21,TRUE,2007,1121,1.01,706.79,8.3,8.21782178217822
"273","2007T04011",55.82,2,0,309.02,TRUE,2007,914,1,604.98,2,2
"274","2007T04012",67.995,0,0,391.645,TRUE,2007,761,0.99,369.355,0,0
"275","2007T04013",63.87,0,0,261.461876,TRUE,2007,526,1,264.538124,0,0
"276","2007T04014",47.488636,0,0,194.488636,TRUE,2007,422,1.01,227.511364,0,0
"277","2007T04015",60.41,0,0,225.54,TRUE,2007,402,1,176.46,0,0
"278","2007T04016",69.23,0,0,348.578713,TRUE,2007,694,1,345.421287,0,0
"279","2007T04017",112.89,0,0,364.74,TRUE,2007,1984,0.99,1619.26,0,0
"280","2007T04021",71.935,0,0,197.335,TRUE,2007,1217,0.99,1019.665,0,0
"281","2007T04022",50.59,0,0,296.82,TRUE,2007,629,0.91,332.18,0,0
"282","2007T04023",66.54,0.55,0,289.6,TRUE,2007,1073,1,783.4,0.55,0.55
"283","2008T04001",56.46,0,0,198.65,TRUE,2008,608,1,409.35,0,0
"284","2008T04002",49.853,0,0,301.843,TRUE,2008,972,1,670.157,0,0
"285","2008T04003",48.731,0,0,281.831,TRUE,2008,834,1.03,552.169,0,0
"286","2008T04005",66.94,0.4,0,383.12,TRUE,2008,867,1,483.88,0.4,0.4
"287","2008T04006",67.26,0.85,0,425.06,TRUE,2008,859,1.02,433.94,0.85,0.833333333333333
"288","2008T04007",72.55,0,0,384.422621,TRUE,2008,867,1,482.577379,0,0
"289","2008T04008",71.559286,2.6,0,359.730596,TRUE,2008,1392,1,1032.269404,2.6,2.6
"290","2008T04009",148.52,0,0,324.5,TRUE,2008,5000,1,4675.5,0,0
"291","2008T04010",62.78,0,0,111.08,TRUE,2008,724,0.74,612.92,0,0
"292","2008T04012",57.97,0,0,246.29,TRUE,2008,574,1,327.71,0,0
"293","2008T04013",60.01,1.25,0,590.097516,TRUE,2008,831,1,240.902484,1.25,1.25
"294","2008T04014",49.47,0,0,590.2,TRUE,2008,1853,0.85,1262.8,0,0
"295","2008T04015",68.74,0,0,131.78,TRUE,2008,648,1.02,516.22,0,0
"296","2008T04016",47.96,0.45,0,NA,TRUE,2008,1442,1,0,0.45,0.45
"297","2008T04017",59.54,0.9,0,271.22,TRUE,2008,634,1,362.78,0.9,0.9
"298","2008T04018",68.3,0,0,NA,TRUE,2008,899,1,0,0,0
"299","2009T04002",47.24,0.65,0,132.21,TRUE,2009,196,0.99,63.79,0.65,0.656565656565657
"300","2009T04003",50.6,0,0,440.537798,TRUE,2009,682.5,1,241.962202,0,0
"301","2009T04004",63.191666,0,0,301.241666,TRUE,2009,700,1,398.758334,0,0
"302","2009T04005",50.93,0,0,178.33,TRUE,2009,864.5,1,686.17,0,0
"303","2009T04006",72.19,0,0,400.51,TRUE,2009,885.5,0.99,484.99,0,0
"304","2009T04008",131.17,0,0,306.14,TRUE,2009,2028,1,1721.86,0,0
"305","2009T04009",62.69,0,0,278.06,TRUE,2009,980.5,1,702.44,0,0
"306","2009T04011",65.12,0,0,NA,TRUE,2009,521.5,1.01,0,0,0
"307","2009T04012",50.25,0.7,0,221.46,TRUE,2009,441.5,1,220.04,0.7,0.7
"308","2009T04014",92.61,0,0,218.21,TRUE,2009,1686,1,1467.79,0,0
